,tweet_preprocessing,sentimen
0,kak maaf kendalanya ya kak bella bantu kendala kakak inbox ya kak silakan kakak,negatif
1,follow yuk byk hadiah guys,positif
2,kak maaf kendalanya ya kak bella bantu kendala kakak inbox ya kak silakan kakak,negatif
3,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
4,tolong nomor dana hangus memutus akun dana,negatif
5,belanja pengiriman pakai jasa terimakasih jnt,positif
6,malam min knp ga login ya padhal udah bener sms kode bener gagal,negatif
7,tolong balas dmnya yaa,negatif
8,hi kak maaf kendalanya ya kak bella bantu inbox ya kak kendalanya silakan kakak cek inbox kakak ,negatif
9,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku,positif
10,kejadian shopee bukalapak balikin akunku,negatif
11,hallo membeli pelatihan prakerja bukalapak menyelesaikan pelatihan skill academy,positif
12,free pake link belanja shopee bukalapak lazada ,positif
13,ngasih emas nih ambil hadiah emasnya ,positif
14,hi selamat terpilih pemenang kuis cek dm ya ,positif
15,beli buka mas rb masuk saldo tinggal sisanya kemana,negatif
16,mohon perhatian tiket komplain pencurian foto watermark c,negatif
17,minisite blogger responsiv untul bisnis reseller tokopedia bukalapak dll,netral
18,hai kak mohon maaf kendala dialami terkait kendala kakak diinfokan bella dm ya kak ,negatif
19,hai kak maaf kendalanya ya bella diinfokan detail kendala dm ya kak,negatif
20,nokia c tersedia toko resmi nokia mobile bukalapak ya ,positif
21,hai kak maaf banget kendala ya mohon diinfokan bella nomor transaksi alamat,negatif
22,hai kak maaf banget kendala ya mohon diinfokan bella nomor transaksi alamat,negatif
23,promo paket bundling berlaku pembelian marketplace shopee tokopedia bukalapak instagram ,positif
24,salam mohon dibantu no transaksi dana dr transaksi masuk dompet bl sy krn pkt,negatif
25,salam mohon dibantu no transaksi dana dr transaksi masuk dompet bl sy krn,negatif
26,cek perlengkapan butuhkan harganya terbaik ,positif
27,diskon rb minimal rb bukalapak bayar pake dana,positif
28,biar belanja hemat lupa pake voucher bank mandiri nih lumayan banget voucher ongkir,positif
29,chat ga ganti cs tidur gimana cs nya ,negatif
30,hai kak maaf kendala ya mohon infokan bella detail terkait kendala ya ,negatif
31,order pomade langsung bukalapak,positif
32,maaf kendala ya kak mohon infoin bella via dm nomor transaksinya bukti resi fisik ,negatif
33,invest emas bukalapak rupiah,positif
34,hai kak maaf kendalanya ya yuk dm bella infoin detail kendala ya kak ,negatif
35,ww ya nih berkesempatan menangin total hadiah jt gampang banget top up produk virtual,positif
36,mudah praktis lwt e commerce spt bukalapak tokopedia,positif
37,yg baca pikir lg kalo beli pelatihan slama sy rekomen org,negatif
38,terimakasih,positif
39,gimana nih bales dm nya kak,negatif
40,bukalapak beli tiket bepergian loh ,positif
41,belanja bayar,positif
42,investasi reksadana emas bukalapak ayo bantu ,positif
43,dapet gratisan bl ya,positif
44,investasi reksadana emas bukalapak ayo bantu ,positif
45,dapet gratisan bl ya ,netral
46,lanjutan mksdnya gimana woy bener no tiket laporan sy yg skrng hdeh jancok gaj,negatif
47,beli reksadana emas bukalapak,positif
48,hai kak kendala bella konfirmasi dm ya kak yuk pindak dm kak nt,negatif
49,netijen please do your magic bantu jualan gue bukalapak yuk belinya ,netral
50,nabung emas aja udah ,positif
51,belom bayar angsuran fif ya ,netral
52,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb ,positif
53,hai kak maaf banget nggak nyaman ya kak perihal kendala bella konfirmasi,negatif
54,aplikasi gak kmren ni tiket brubah kali dm brubah cs,negatif
55,aplikasi gak kmren ni tiket brubah kali dm brubah cs,negatif
56,selesai bintek verifikasi bukalapak tinggal shopee blibli ,netral
57,bersyukur shopee bukalapak tokped dsj langsung harganya ,positif
58,hai kak kendala bella konfirmasi dm ya kak yuk cek dm kak nt,negatif
59,hai kak kendala bella konfirmasi dm ya kak yuk cek dm kak nt,negatif
60,shopee tokopedia bukalapak lazada bintang iklan konsep iklan nya mahal mahal bangsat,negatif
